occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format
705e6036,07840dcc,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:37Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/07840dcc-0d99-4ab4-973b-7e4a8e20b56d/file,image/jpeg
705e6036,401386c7,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:40Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/401386c7-cc7a-46e5-9160-48c6158624a3/file,image/jpeg
705e6036,ca3ff293,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:40Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/ca3ff293-89a4-425d-a853-5572837c5b83/file,image/jpeg
705e6036,e8b8e44c,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:41Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/e8b8e44c-491c-45d2-8928-aa5996c07584/file,image/jpeg
705e6036,b8690a15,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:41Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/b8690a15-652a-4f08-9562-1797671410b8/file,image/jpeg
705e6036,64734615,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:42Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/64734615-ccaf-4c48-b63e-d7b07bdc6d39/file,image/jpeg
705e6036,12ce5004,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:43Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/12ce5004-9427-41ff-bcba-99b09c716e81/file,image/jpeg
705e6036,f372acaf,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:43Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/f372acaf-1d46-4244-8edf-5f804da1e092/file,image/jpeg
705e6036,97140835,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:44Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/97140835-6245-4adb-b84d-af09045389cf/file,image/jpeg
705e6036,d1326349,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-30T02:57:44Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/d1326349-76fd-4e83-a20c-a7994e4c0da2/file,image/jpeg
1fcdba64,017e3d07,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:10Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/017e3d07-3e6c-45a2-adbd-e7308c74f656/file,image/jpeg
1fcdba64,e82ea167,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:11Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/e82ea167-73a2-4cd3-a819-9d94a206a75f/file,image/jpeg
1fcdba64,8aab9351,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:11Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/8aab9351-ccf3-499a-bf1a-8f98a3957b0f/file,image/jpeg
1fcdba64,dd543fc8,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:12Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/dd543fc8-8bf8-4a85-a026-1469367cb7f8/file,image/jpeg
1fcdba64,6affb228,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:13Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/6affb228-efd9-4327-acbf-fdc5cf8c8816/file,image/jpeg
1fcdba64,ef3afb3b,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:13Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/ef3afb3b-b922-4347-ad0d-125c20c3d822/file,image/jpeg
1fcdba64,29aef5c3,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:14Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/29aef5c3-20a6-4701-9027-8b04c620cda0/file,image/jpeg
1fcdba64,200e99c0,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:14Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/200e99c0-692e-46f2-aa44-7f7dc599757a/file,image/jpeg
1fcdba64,97b70ded,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:15Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/97b70ded-6f6b-480c-b386-b6d11f045907/file,image/jpeg
1fcdba64,bbd0d520,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T04:05:16Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/bbd0d520-665a-48f0-8c3a-f176b1d52076/file,image/jpeg
4729dc5c,75e6d1df,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:43Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/75e6d1df-1ede-4ca7-a8b0-9cda64493f4d/file,image/jpeg
4729dc5c,948c2184,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:44Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/948c2184-a964-494c-8416-ea08827697ba/file,image/jpeg
4729dc5c,8f0c5a8c,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:44Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/8f0c5a8c-69c9-48f3-99b0-46ebe858643f/file,image/jpeg
4729dc5c,50d30a87,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:45Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/50d30a87-67ce-4eab-a3b5-c3b7db3aaebb/file,image/jpeg
4729dc5c,bdd7481f,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:46Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/bdd7481f-b49b-4847-9799-1db990b76dd9/file,image/jpeg
4729dc5c,c459b1f0,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:46Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/c459b1f0-390b-41d0-9380-2eddb2f82f7b/file,image/jpeg
4729dc5c,dbf41369,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:47Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/dbf41369-46b8-4b48-a253-67537f5245f5/file,image/jpeg
4729dc5c,bdfc4e2d,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:47Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/bdfc4e2d-ee5c-413d-8d86-5b5a2ebc6e28/file,image/jpeg
4729dc5c,7a1ac372,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:48Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/7a1ac372-9cc4-4ca6-8939-69a9ac7ae028/file,image/jpeg
4729dc5c,6528fd34,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:49Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/6528fd34-2d9d-4d58-af5c-04877db1599b/file,image/jpeg
4729dc5c,dafafac8,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:51Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/dafafac8-d3dd-468b-93f1-34837d13ee88/file,image/jpeg
4729dc5c,45ddded1,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:52Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/45ddded1-efeb-4d11-b948-bcfa46cb5c06/file,image/jpeg
4729dc5c,998bdc6a,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:52Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/998bdc6a-6655-4d36-af11-215bbf54b4db/file,image/jpeg
4729dc5c,3348ffed,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:53Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/3348ffed-1ddb-4e90-95fa-af2a140f3c6a/file,image/jpeg
4729dc5c,4d6cd9b6,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:54Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/4d6cd9b6-2505-4a4d-b8f9-b00f8033eb8a/file,image/jpeg
4729dc5c,de1a05d2,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:54Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/de1a05d2-7a5f-4d01-9fe2-a302d41f09ee/file,image/jpeg
4729dc5c,d7841986,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:55Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/d7841986-8a59-4a70-b476-ea8e1001a581/file,image/jpeg
4729dc5c,9447bae7,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:55Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/9447bae7-66fe-400c-8e90-8b8f0e30f3e3/file,image/jpeg
4729dc5c,33b63cf8,StillImage,,http://creativecommons.org/licenses/by/4.0/,2020-05-31T20:06:56Z,Reconyx-HF2X,motion detection,https://multimedia.agouti.eu/assets/33b63cf8-ef7d-4357-8c58-9375415fe27d/file,image/jpeg
